"","ch","most_visited","current.age"
"E89","0000000000000000000010000001011000","S",4.50655865300548
"E90","0000000000000010111111101111111110","T",1.44016577141752
"E91","0000000000001010000100000000000000","S",0.429898830965777
"E92","0000000000000000110101010101010001","J",2.63113273903285
"E93","0000000000000000100100000000000000","S",2.62568329043874
"E94","0000000000001011111011111111101001","T",0.418960554307324
"E97","0000000000001000000000000000000000","S",0.473717570049966
"E98","0000000000001011111011111111101000","S",0.418960554307324
"EX1","0000000000101100111110110101011011","S",0.63525076649076
"H01","0000000000000000001010101011111010","T",2.43802049589665
"H02","0000000000000000001010111011111110","T",0.435350153772758
"H03","0000000000000000001000000000000000","S",0.503796423451061
"H04","0000000000000000001011110000000000","T",0.435350153772758
"H05","0000000000000000001010111111101010","T",0.427136601411362
"H07","0000000000000000001100000000000000","T",0.487369318728268
"H12","0000000000000000001000000000000000","T",0.739255342570157
"H15","0000000000000000001010000000000000","T",0.512013727238193
"H18","0000000000000000001000000000000000","S",0.58593569849076
"H19","0000000000000000001010111011100000","T",0.512013727238193
"H20","0000000000000000001010111011111010","T",0.427140352837098
"H22","0000000000000000001010100000000000","S",0.566772618193703
"H23","0000000000000000001011101110000000","T",0.481899243792608
"H25","0000000000000000000010010100000000","S",1.50037973660575
"H27","0000000000000000001000000000000000","T",0.43535765562423
"H30","0000000000000000000010101111100000","T",1.44562647128884
"H32","0000000000000000001000000000000000","T",0.418932426114305
"H33","0000000000000000001011101010100000","T",0.45178663555989
"H37","0000000000000000000010101110001000","T",1.42646339099179
"H38","0000000000000000001010101110100000","T",0.495594123366872
"H39","0000000000000000000010111111000000","S",1.46479892765024
"H41","0000000000000000001000000000000000","T",0.561308167896646
"H42","0000000000000000001010011100000000","T",0.5147647045154
"H45","0000000000000000001000000000000000","J",0.629754437574949
"H48","0000000000000000001010000000000000","T",0.424415628540041
"H49","0000000000000000001010111111111010","T",0.435374532540041
"H51","0000000000000000001010011110100010","T",0.427160980178645
"H53","0000000000000000000011111111101110","T",0.424368747218344
"H55","0000000000000000000010010101000000","T",0.744714166228611
"H56","0000000000000000000010100000000000","T",0.421647773347023
"H58","0000000000000000000010101010100000","T",0.429876327411362
"H60","0000000000000000000010101010101010","T",0.429876327411362
"H61","0000000000000000000010101011101010","T",0.424400625837098
"H62","0000000000000000000000000011100000","S",3.61125894205886
"H64","0000000000000000000000000000001100","S",4.4298800788371
"H65","0000000000000000000010100000000000","T",0.427142228049966
"H66","0000000000000000000010111111111001","T",0.421666526475702
"H67","0000000000000000000010000000101010","T",0.454520735921287
"H68","0000000000000000000010100010000000","T",0.432621680049966
"H70","0000000000000000000010101111111011","T",0.446310933985626
"H71","0000000000000000000010000000000000","T",0.427145978475702
"H72","0000000000000000000010000100000000","S",0.509281502089665
"H74","0000000000000000000010101011001010","T",0.446318434837098
"H75","0000000000000000000000100000000000","J",1.70299194613073
"H79","0000000000000000000000000010110000","S",3.62770479991034
"H82","0000000000000000000000110000000000","T",1.48397513443737
"H83","0000000000000000000010100000000000","T",0.427164730604381
"H86","0000000000000000000000101111101110","T",0.427123474921287
"H88","0000000000000000000000001111101011","T",1.4264390122245
"H90","0000000000000000000000001111001011","S",1.5113123866256
